Student ID,Name
TUCE1039,Revathi Nagesh
TUCIV1013,Gayathri Rao
TUCIV1032,Lakshya Sharma
TUEE1014,Manoj Namboothiri
TUEE1023,Dinesh Menon
TUEE1043,Sathish Acharya
TUEC1031,Bhavani Chowdary
TUEC1039,Venkatesh Murthy
TUME1010,Hema Nagesh
TUME1013,Karthik Joshi
TUME1039,Sneha Murthy
TUCE1006,Ramya Rangaswamy
TUCE1007,Naveen Nagesh
TUCE1009,Anu Joshi
TUCE1016,Raghav Nair
TUCE1030,Vijay Reddy
TUCE1033,Anjali Rao
TUCE1044,Deepak Sundaram
TUCIV1005,Ajay Gowda
TUCIV1033,Ajay Nagesh
TUCIV1045,Sathish Nagesh
TUEE1022,Deepak Naidu
TUEE1024,Vasundhara Acharya
TUEC1008,Madhavi Murthy
TUEC1015,Shankar Sundaram
TUEC1028,Anjali Srinivas
TUEC1033,Lakshmi Naidu
TUEC1047,Ganesh Sundaram
TUME1016,Lakshmi Iyer
TUME1021,Suresh Shetty
TUME1040,Sangeetha Murthy
TUCE1015,Harini Menon
TUCE1017,Jyothi Nagesh
TUCIV1049,Sruthi Rao
TUEE1027,Harish Iyer
TUEE1036,Shilpa Nair
TUEE1037,Revathi Namboothiri
TUEC1013,Prakash Namboothiri
TUEC1017,Meena Shetty
TUEC1036,Ramya Srinivas
TUEC1037,Yamini Menon
TUEC1040,Nandhini Menon
TUME1003,Mohan Reddy
TUME1027,Anu Rao
TUME1033,Hari Kumar
TUME1042,Sneha Venkatesh
TUME1047,Divya Pillai
TUCE1005,Manoj Iyer
TUCE1013,Lakshya Srinivas
TUCE1038,Pooja Nair
TUCE1047,Deepak Rangaswamy
TUCE1050,Anil Rangaswamy
TUCIV1004,Anil Reddy
TUCIV1012,Lakshya Iyer
TUCIV1022,Rakesh Menon
TUCIV1040,Nandhini Shetty
TUEE1032,Vasundhara Iyer
TUEC1025,Pooja Namboothiri
TUME1005,Kumar Acharya
TUME1043,Santosh Rangaswamy
TUCE1002,Madhavi Sharma
TUCE1003,Shankar Joshi
TUCE1014,Ajay Sundaram
TUCE1027,Nithya Joshi
TUCE1031,Nandhini Iyer
TUCE1032,Shankar Iyer
TUCE1049,Vijay Joshi
TUCIV1015,Anjali Gowda
TUCIV1030,Anu Sundaram
TUCIV1034,Yamini Nair
TUCIV1041,Revathi Sharma
TUEE1007,Sreeja Joshi
TUEE1013,Lakshya Rangaswamy
TUEE1040,Yamini Sundaram
TUEC1001,Sneha Acharya
TUEC1002,Rakesh Namboothiri
TUEC1007,Anu Bhattacharya
