Student ID,Name,GPA
TUCE3014,Mohit Patil,7.442857142857143
TUCE3036,Meera Banerjee,7.2857142857142865
TUCE4013,Riya Agarwal,7.257142857142857
TUCE4022,Hari Iyer,7.385714285714286
TUCE23033,Lakshmi Nair,6.957142857142857
TUCE23037,Krishna Srinivas,6.385714285714285
TUCE24025,Akhil Reddy,7.0
TUCE24042,Anupama V,7.314285714285714
TUCE2048,Deepak Shetty,6.8
TUCE22285,Amit Sundaram,7.1
TUCE4034,Vijay Sundaram,7.457142857142857
TUCE24022,Akash Mondal,6.271428571428571
TUCE24037,Anirudhha Krishnan A,7.085714285714286
TUCE21003,Prashanthi A,7.471428571428571
TUCE1021,Rajesh Pillai,7.428571428571429
TUCE1046,Rahul Sundaram,7.114285714285714
TUCE2030,Divya Bhattacharya,7.485714285714286
TUCE22264,Aishwarya Nagesh,7.4
TUCE3033,Khushi Patil,7.2142857142857135
TUCE3050,Anjali Banerjee,7.042857142857143
TUCE4016,Karan Pandey,6.7142857142857135
TUCE4046,Rajesh Naidu,7.471428571428571
TUCE23023,Nithya Murthy,7.114285714285714
TUCE23027,Anil Joshi,6.757142857142857
TUCE24028,Akshitha Varshini J,7.3
TUCE24036,Anil Kiran,7.428571428571429
TUCE21034,Ramya S,7.428571428571429
TUCE2009,Anjali Murthy,7.485714285714286
TUCE3032,Divya Iyer,7.328571428571429
TUCE3037,Aditi Malhotra,7.028571428571429
TUCE4016,Karan Pandey,6.3
TUCE4025,Rajesh Menon,7.4
TUCE21036,Ranjitha N,7.371428571428571
TUCE2034,Raghav Rao,6.685714285714286
TUCE2042,Sneha Bhattacharya,7.0
TUCE2046,Anjali Iyer,7.342857142857143
TUCE2050,Vijay Venkatesh,7.242857142857143
TUCE22265,Aishwarya Menon,7.457142857142857
TUCE3040,Rohan Patil,7.128571428571429
TUCE3047,Vikram Singh,7.371428571428571
TUCE4019,Nikhil Mishra,7.2142857142857135
TUCE4025,Rajesh Menon,7.085714285714286
TUCE21037,Rasagna C,6.614285714285714
