Student ID,Name,Contact Info
TUCE2002,Divya Murthy,Divya_Murthy@ssmcollege.co.in
TUCE2003,Krishna Reddy,Krishna_Reddy@ssmcollege.co.in
TUCE2004,Jyothi Iyer,Jyothi_Iyer@ssmcollege.co.in
TUCE2005,Ajay Venkatesh,Ajay_Venkatesh@ssmcollege.co.in
TUCE2006,Prakash Sundaram,Prakash_Sundaram@ssmcollege.co.in
TUCE2007,Arjun Reddy,Arjun_Reddy@ssmcollege.co.in
TUCE2008,Vasanth Kumar,Vasanth_Kumar@ssmcollege.co.in
TUCE2009,Anjali Murthy,Anjali_Murthy@ssmcollege.co.in
TUCE2011,Pooja Joshi,Pooja_Joshi@ssmcollege.co.in
TUCE2012,Sanjay Menon,Sanjay_Menon@ssmcollege.co.in
TUCE2014,Karthik Nair,Karthik_Nair@ssmcollege.co.in
TUCE2015,Meena Reddy,Meena_Reddy@ssmcollege.co.in
TUCE2018,Devi Reddy,Devi_Reddy@ssmcollege.co.in
TUCE2019,Sanjay Iyer,Sanjay_Iyer@ssmcollege.co.in
TUCE2021,Hari Venkatesh,Hari_Venkatesh@ssmcollege.co.in
TUCE2023,Bhavani Reddy,Bhavani_Reddy@ssmcollege.co.in
TUCE2025,Hari Murthy,Hari_Murthy@ssmcollege.co.in
TUCE2026,Suresh Bhattacharya,Suresh_Bhattacharya@ssmcollege.co.in
TUCE2027,Ramya Sundaram,Ramya_Sundaram@ssmcollege.co.in
TUCE2028,Pooja Kumar,Pooja_Kumar@ssmcollege.co.in
TUCE2029,Rahul Nair,Rahul_Nair@ssmcollege.co.in
TUCE2030,Divya Bhattacharya,Divya_Bhattacharya@ssmcollege.co.in
TUCE2031,Ramya Rao,Ramya_Rao@ssmcollege.co.in
TUCE2032,Arjun Joshi,Arjun_Joshi@ssmcollege.co.in
TUCE2033,Harini Venkatesh,Harini_Venkatesh@ssmcollege.co.in
TUCE2034,Raghav Rao,Raghav_Rao@ssmcollege.co.in
