Student ID,Name,Program/Degree,Batch,Semester,Course Code,Course Title,Credits,Department,Marks,GPA,Status
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,1,BEE101,BEE,4,Computer Engineering,86,7.871428571428571,Completed
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,1,MAT101,M1,4,Civil Engineering,78,7.871428571428571,Completed
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,1,PPS101,PPS,4,Computer Engineering,65,7.871428571428571,Completed
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,1,PHY101,Physics,4,Civil Engineering,95,7.871428571428571,Completed
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,1,PHY102,Physics Lab,4,Civil Engineering,76,7.871428571428571,Completed
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,1,WSH102,Workshop,4,Computer Engineering,80,7.871428571428571,Completed
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,1,WSH103,Workshop Lab,4,Computer Engineering,71,7.871428571428571,Completed
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,2,SUB101,CP,4,Computer Engineering,88,8.742857142857144,Enrolled
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,2,SUB102,DS,4,Computer Engineering,89,8.742857142857144,Enrolled
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,2,ELE103,Electrical Basics,4,Computer Engineering,86,8.742857142857144,Enrolled
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,2,ELE104,Electrical Lab,4,Computer Engineering,90,8.742857142857144,Enrolled
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,2,MAT102,M2,3,Civil Engineering,71,8.742857142857144,Enrolled
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,2,MAT103,Mathematics II,4,Civil Engineering,89,8.742857142857144,Enrolled
TUCE1001,Nithya Rangaswamy,Computer Engineering,2024,2,PGL101,Programming Lab,3,Computer Engineering,99,8.742857142857144,Enrolled
TUCE1002,Madhavi Sharma,Computer Engineering,2024,1,BEE101,BEE,4,Computer Engineering,83,8.1,Completed
TUCE1002,Madhavi Sharma,Computer Engineering,2024,1,MAT101,M1,4,Civil Engineering,94,8.1,Completed
TUCE1002,Madhavi Sharma,Computer Engineering,2024,1,PPS101,PPS,4,Computer Engineering,84,8.1,Completed
TUCE1002,Madhavi Sharma,Computer Engineering,2024,1,PHY101,Physics,4,Civil Engineering,84,8.1,Completed
TUCE1002,Madhavi Sharma,Computer Engineering,2024,1,PHY102,Physics Lab,4,Civil Engineering,91,8.1,Completed
TUCE1002,Madhavi Sharma,Computer Engineering,2024,1,WSH102,Workshop,4,Computer Engineering,67,8.1,Completed
TUCE1002,Madhavi Sharma,Computer Engineering,2024,1,WSH103,Workshop Lab,4,Computer Engineering,64,8.1,Completed
TUCE1002,Madhavi Sharma,Computer Engineering,2024,2,SUB101,CP,4,Computer Engineering,91,8.32857142857143,Enrolled
TUCE1002,Madhavi Sharma,Computer Engineering,2024,2,SUB102,DS,4,Computer Engineering,88,8.32857142857143,Enrolled
TUCE1002,Madhavi Sharma,Computer Engineering,2024,2,ELE103,Electrical Basics,4,Computer Engineering,95,8.32857142857143,Enrolled
TUCE1002,Madhavi Sharma,Computer Engineering,2024,2,ELE104,Electrical Lab,4,Computer Engineering,73,8.32857142857143,Enrolled
TUCE1002,Madhavi Sharma,Computer Engineering,2024,2,MAT102,M2,3,Civil Engineering,79,8.32857142857143,Enrolled
TUCE1002,Madhavi Sharma,Computer Engineering,2024,2,MAT103,Mathematics II,4,Civil Engineering,83,8.32857142857143,Enrolled
TUCE1002,Madhavi Sharma,Computer Engineering,2024,2,PGL101,Programming Lab,3,Computer Engineering,74,8.32857142857143,Enrolled
TUCE1003,Shankar Joshi,Computer Engineering,2024,1,BEE101,BEE,4,Computer Engineering,88,8.428571428571429,Completed
TUCE1003,Shankar Joshi,Computer Engineering,2024,1,MAT101,M1,4,Civil Engineering,77,8.428571428571429,Completed
TUCE1003,Shankar Joshi,Computer Engineering,2024,1,PPS101,PPS,4,Computer Engineering,96,8.428571428571429,Completed
TUCE1003,Shankar Joshi,Computer Engineering,2024,1,PHY101,Physics,4,Civil Engineering,78,8.428571428571429,Completed
TUCE1003,Shankar Joshi,Computer Engineering,2024,1,PHY102,Physics Lab,4,Civil Engineering,100,8.428571428571429,Completed
TUCE1003,Shankar Joshi,Computer Engineering,2024,1,WSH102,Workshop,4,Computer Engineering,72,8.428571428571429,Completed
TUCE1003,Shankar Joshi,Computer Engineering,2024,1,WSH103,Workshop Lab,4,Computer Engineering,79,8.428571428571429,Completed
TUCE1003,Shankar Joshi,Computer Engineering,2024,2,SUB101,CP,4,Computer Engineering,84,7.742857142857143,Enrolled
TUCE1003,Shankar Joshi,Computer Engineering,2024,2,SUB102,DS,4,Computer Engineering,78,7.742857142857143,Enrolled
TUCE1003,Shankar Joshi,Computer Engineering,2024,2,ELE103,Electrical Basics,4,Computer Engineering,62,7.742857142857143,Enrolled
TUCE1003,Shankar Joshi,Computer Engineering,2024,2,ELE104,Electrical Lab,4,Computer Engineering,75,7.742857142857143,Enrolled
TUCE1003,Shankar Joshi,Computer Engineering,2024,2,MAT102,M2,3,Civil Engineering,94,7.742857142857143,Enrolled
TUCE1003,Shankar Joshi,Computer Engineering,2024,2,MAT103,Mathematics II,4,Civil Engineering,70,7.742857142857143,Enrolled
TUCE1003,Shankar Joshi,Computer Engineering,2024,2,PGL101,Programming Lab,3,Computer Engineering,79,7.742857142857143,Enrolled
TUCE1004,Sneha Nair,Computer Engineering,2024,1,BEE101,BEE,4,Computer Engineering,99,8.214285714285714,Completed
TUCE1004,Sneha Nair,Computer Engineering,2024,1,MAT101,M1,4,Civil Engineering,70,8.214285714285714,Completed
TUCE1004,Sneha Nair,Computer Engineering,2024,1,PPS101,PPS,4,Computer Engineering,76,8.214285714285714,Completed
TUCE1004,Sneha Nair,Computer Engineering,2024,1,PHY101,Physics,4,Civil Engineering,93,8.214285714285714,Completed
TUCE1004,Sneha Nair,Computer Engineering,2024,1,PHY102,Physics Lab,4,Civil Engineering,87,8.214285714285714,Completed
TUCE1004,Sneha Nair,Computer Engineering,2024,1,WSH102,Workshop,4,Computer Engineering,66,8.214285714285714,Completed
TUCE1004,Sneha Nair,Computer Engineering,2024,1,WSH103,Workshop Lab,4,Computer Engineering,84,8.214285714285714,Completed
TUCE1004,Sneha Nair,Computer Engineering,2024,2,SUB101,CP,4,Computer Engineering,61,7.8,Enrolled
TUCE1004,Sneha Nair,Computer Engineering,2024,2,SUB102,DS,4,Computer Engineering,74,7.8,Enrolled
TUCE1004,Sneha Nair,Computer Engineering,2024,2,ELE103,Electrical Basics,4,Computer Engineering,66,7.8,Enrolled
TUCE1004,Sneha Nair,Computer Engineering,2024,2,ELE104,Electrical Lab,4,Computer Engineering,84,7.8,Enrolled
TUCE1004,Sneha Nair,Computer Engineering,2024,2,MAT102,M2,3,Civil Engineering,100,7.8,Enrolled
TUCE1004,Sneha Nair,Computer Engineering,2024,2,MAT103,Mathematics II,4,Civil Engineering,75,7.8,Enrolled
TUCE1004,Sneha Nair,Computer Engineering,2024,2,PGL101,Programming Lab,3,Computer Engineering,86,7.8,Enrolled
TUCE1005,Manoj Iyer,Computer Engineering,2024,1,BEE101,BEE,4,Computer Engineering,99,8.657142857142857,Completed
TUCE1005,Manoj Iyer,Computer Engineering,2024,1,MAT101,M1,4,Civil Engineering,88,8.657142857142857,Completed
TUCE1005,Manoj Iyer,Computer Engineering,2024,1,PPS101,PPS,4,Computer Engineering,86,8.657142857142857,Completed
TUCE1005,Manoj Iyer,Computer Engineering,2024,1,PHY101,Physics,4,Civil Engineering,83,8.657142857142857,Completed
TUCE1005,Manoj Iyer,Computer Engineering,2024,1,PHY102,Physics Lab,4,Civil Engineering,90,8.657142857142857,Completed
