Student ID,Name
TUCE2049,Manoj Venkatesh
TUEE2034,Santosh Rao
TUEE2050,Keerthi Chowdary
TUCE2019,Sanjay Iyer
TUCIV2027,Pooja Reddy
TUCIV2045,Lakshya Rao
TUEE2006,Rahul Venkatesh
TUEC2015,Naveen Acharya
TUCE3042,Rahul Rangaswamy
TUCIV2039,Suresh Menon
TUCE3032,Divya Iyer
TUME2018,Ankit Sinha
TUEC3036,Amit Mishra
TUME3041,Avni Agarwal
TUCIV2038,Suresh Joshi
TUEC2044,Santosh Gowda
TUCIV3047,Shreya Joshi
TUEE3027,Zara Banerjee
TUCE2011,Pooja Joshi
TUCE3039,Pavan Malhotra
TUME2023,Tanvi Kapoor
TUME2039,Aryan Malhotra
TUCE2029,Rahul Nair
TUEC3028,Suraj Yadav
TUEC3031,Varun Tiwari
TUCE2027,Ramya Sundaram
TUEC3022,Mohit Kapoor
TUEC2014,Ramya Nair
TUEC2038,Anil Kumar
TUME2007,Divya Venkatesh
TUCE3014,Mohit Patil
TUEC2041,Vijay Sharma
TUME2048,Aditi Jain
TUCIV3037,Aarav Trivedi
TUEE2048,Divya Rao
TUEE3015,Krishna Yadav
TUEE3035,Divya Mishra
TUME2030,Gaurav Sinha
TUEC3050,Aditi Verma
TUEC3011,Varun Iyer
TUME3049,Aditya Trivedi
