Student ID,Name
TUME22451,Deepak Srinivas
TUME22453,Deepak Menon
TUME22454,Deepak Gowda
TUME22455,Deepak Murthy
TUME22459,Deepak Namboothiri
TUME22460,Deepak Nagesh
TUME22462,Deepak Sharma
TUME22463,Deepika Joshi
TUME22464,Deepika Nagesh
TUME22465,Deepika Rao
TUME22466,Deepika Gowda
TUME22469,Deepthi Reddy
TUME22470,Devadharshini Nair
TUME22474,Devendra Acharya
TUME22476,Devi Nair
TUME22479,Devi Pillai
TUME22480,Devi Nagesh
TUME22484,Devi Joshi
TUME22485,Devi Venkatesh
TUME22486,Dhamini Chowdary
TUME22487,Dhanusha Shetty
TUME22488,Dharani Bhattacharya
TUME22492,Dharmendra Murthy
TUME22497,Dileep Venkatesh
TUME22499,Dinesh Kumar
