Student ID,Name,GPA
TUCE1020,Swathi Sharma,8.042857142857143
TUCIV1010,Sathish Srinivas,8.7
TUCIV1020,Mohan Nair,8.157142857142857
TUCIV1032,Lakshya Sharma,8.471428571428572
TUEE1038,Ravi Nagesh,8.214285714285714
TUEE1043,Sathish Acharya,8.342857142857143
TUEC1025,Pooja Namboothiri,9.042857142857143
TUME1002,Kumar Nagesh,8.514285714285714
TUCE2049,Manoj Venkatesh,9.142857142857142
TUCIV2031,Ajay Shetty,8.585714285714285
TUEE2039,Manoj Srinivas,8.17142857142857
TUME2024,Deepika Nair,9.214285714285714
TUCIV3024,Ankit Chopra,8.4
TUCIV3035,Naina Trivedi,8.428571428571429
TUCIV3038,Krishna Choudhury,8.157142857142857
TUEC3035,Neha Das,8.914285714285715
TUME3009,Aryan Mishra,8.414285714285715
TUME3049,Aditya Trivedi,9.185714285714287
TUCE4032,Devi Iyer,8.2
TUEC4004,Sanjay Pillai,8.485714285714286
TUEC4050,Lakshmi Bhattacharya,8.1
TUME4044,Harish Gowda,8.4
TUCE23048,Harini Rao,8.014285714285714
TUME23023,Yamuna Priya,8.557142857142857
TUME23026,Lavanya Lakshmi,9.114285714285714
TUCIV24009,Balaji Sriram V M,8.314285714285713
TUME24030,Nikitha Reddy,8.8
TUME24043,Pavan Teja,8.357142857142858
TUEE21103,Shashikiran D,8.242857142857144
TUEE21124,Spoorthy Atluri,8.7
TUEE21135,Srilatha P,8.571428571428571
TUEC21180,Tejasvi L,8.471428571428572
TUEE22362,Arvind Joshi,8.657142857142857
TUEE22370,Aryan Nair,8.857142857142858
TUEC22401,Bhavana Gowda,8.214285714285714
TUEC22434,Chetan Srinivas,8.285714285714286
TUCE1017,Jyothi Nagesh,8.1
TUCIV1015,Anjali Gowda,8.142857142857142
TUCIV1021,Shilpa Srinivas,8.342857142857143
TUCIV1047,Keerthi Acharya,8.314285714285713
TUEC1019,Ravi Pillai,8.557142857142857
TUME1010,Hema Nagesh,8.214285714285714
TUME1037,Lakshya Kumar,8.157142857142857
TUME1043,Santosh Rangaswamy,8.571428571428571
TUCE2037,Shilpa Chowdary,8.1
TUCIV2014,Harini Shetty,8.1
TUEE2017,Suresh Rangaswamy,8.257142857142856
TUEE2028,Ganesh Chowdary,8.1
TUEE2040,Nithya Chowdary,8.714285714285714
TUEE2046,Raghav Reddy,8.257142857142856
TUEE2048,Divya Rao,8.62857142857143
