Student ID,Name
TUCIV1001,Anu Rangaswamy
TUCIV1002,Sanjay Chowdary
TUCIV1003,Hema Reddy
TUCIV1004,Anil Reddy
TUCIV1005,Ajay Gowda
TUCIV1006,Sreeja Nagesh
TUCIV1007,Ganesh Nagesh
TUCIV1008,Shilpa Shetty
TUCIV1009,Keerthi Sundaram
TUCIV1010,Sathish Srinivas
TUCIV1011,Vasundhara Chowdary
TUCIV1012,Lakshya Iyer
TUCIV1013,Gayathri Rao
TUCIV1014,Manoj Sharma
TUCIV1015,Anjali Gowda
TUCIV1016,Deepak Bhattacharya
TUCIV1017,Pooja Bhattacharya
TUCIV1018,Yamini Srinivas
TUCIV1019,Lakshya Naidu
TUCIV1020,Mohan Nair
TUCIV1021,Shilpa Srinivas
TUCIV1022,Rakesh Menon
TUCIV1023,Priya Srinivas
TUCIV1024,Vasanth Rao
TUCIV1025,Hema Nair
TUCIV1026,Hema Rao
TUCIV1027,Sreeja Reddy
TUCIV1028,Jyothi Murthy
TUCIV1029,Venkatesh Reddy
TUCIV1030,Anu Sundaram
TUCIV1031,Sreeja Bhattacharya
TUCIV1032,Lakshya Sharma
TUCIV1033,Ajay Nagesh
TUCIV1034,Yamini Nair
TUCIV1035,Ajay Sharma
TUCIV1036,Karthik Gowda
TUCIV1037,Manoj Murthy
TUCIV1038,Gowtham Sundaram
TUCIV1039,Manoj Joshi
TUCIV1040,Nandhini Shetty
TUCIV1041,Revathi Sharma
TUCIV1042,Mohan Menon
TUCIV1043,Venkatesh Nair
TUCIV1044,Karthik Namboothiri
TUCIV1045,Sathish Nagesh
TUCIV1046,Sruthi Pillai
TUCIV1047,Keerthi Acharya
TUCIV1048,Sangeetha Sharma
TUCIV1049,Sruthi Rao
TUCIV1050,Anu Srinivas
