Name,Contact Info
Dr. Q. Shah,dq.@ssmcollege.co.in
Dr. G. Iyer,dg.@ssmcollege.co.in
Dr. S. Banerjee,ds.@ssmcollege.co.in
Prof. F. Joshi,pf.@ssmcollege.co.in
Dr. C. Mathur,dc.@ssmcollege.co.in
Dr. E. Reddy,de.@ssmcollege.co.in
Prof. B. Singh,pb.@ssmcollege.co.in
Prof. D. Kumar,pd.@ssmcollege.co.in
Dr. K. Sharma,dk.@ssmcollege.co.in
Prof. J. Patil,pj.@ssmcollege.co.in
Dr. O. Patel,do.@ssmcollege.co.in
Prof. L. Mehta,pl.@ssmcollege.co.in
Prof. N. Das,pn.@ssmcollege.co.in
Dr. A. Desai,da.@ssmcollege.co.in
Dr. M. Choudhury,dm.@ssmcollege.co.in
Prof. T. Chopra,pt.@ssmcollege.co.in
Prof. R. Nair,pr.@ssmcollege.co.in
Dr. I. Agarwal,di.@ssmcollege.co.in
Prof. H. Malhotra,ph.@ssmcollege.co.in
Prof. P. Gupta,pp.@ssmcollege.co.in
