Student ID,Name,GPA
TUCE1034,Sneha Joshi,8.82857142857143
TUCE1012,Hema Pillai,8.385714285714286
TUCE1002,Madhavi Sharma,8.32857142857143
TUCE1017,Jyothi Nagesh,8.1
TUCE1004,Sneha Nair,8.214285714285714
TUCE1025,Ramya Naidu,8.3
TUCE1006,Ramya Rangaswamy,8.471428571428572
TUCE1048,Nandhini Joshi,7.828571428571429
TUCE1006,Ramya Rangaswamy,7.828571428571429
TUCE1008,Vasundhara Shetty,7.8
TUCE1038,Pooja Nair,7.7285714285714295
TUCE1017,Jyothi Nagesh,9.042857142857143
TUCE1034,Sneha Joshi,8.17142857142857
TUCE1048,Nandhini Joshi,7.4
TUCE1004,Sneha Nair,7.8
TUCE1020,Swathi Sharma,8.042857142857143
TUCE1038,Pooja Nair,8.22857142857143
TUCE1012,Hema Pillai,8.685714285714287
TUCE1025,Ramya Naidu,8.32857142857143
TUCE1039,Revathi Nagesh,7.7142857142857135
TUCE1002,Madhavi Sharma,8.1
TUCE1020,Swathi Sharma,8.057142857142857
TUCE1039,Revathi Nagesh,8.642857142857142
TUCE1008,Vasundhara Shetty,8.185714285714287
