Student ID,Name
TUCE1044,Deepak Sundaram
TUCIV1033,Ajay Nagesh
TUCE1017,Jyothi Nagesh
TUCE1004,Sneha Nair
TUCE1047,Deepak Rangaswamy
TUCIV1012,Lakshya Iyer
TUCE1002,Madhavi Sharma
TUCE1032,Shankar Iyer
TUCE1049,Vijay Joshi
TUCIV1041,Revathi Sharma
TUEE1005,Arjun Iyer
TUCE1045,Karthik Bhattacharya
TUCE1048,Nandhini Joshi
TUCIV1026,Hema Rao
TUCIV1021,Shilpa Srinivas
TUEE1019,Dinesh Iyer
TUEE1029,Ajay Joshi
TUCE1023,Siva Nair
TUCIV1007,Ganesh Nagesh
TUCIV1037,Manoj Murthy
TUEE1012,Rahul Gowda
TUEE1010,Mohan Sharma
TUEE1023,Dinesh Menon
TUCIV1048,Sangeetha Sharma
